Date,Time,"Nitrogen dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2020-06-23,01:00:00,2.85071,V ugm-3,No data,V mgm-3,9.8,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),210,N deg,2.7,N ms-1,10.7,N degC
2020-06-23,02:00:00,3.70533,V ugm-3,No data,V mgm-3,10,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),199.5,N deg,2.8,N ms-1,10.3,N degC
2020-06-23,03:00:00,4.60728,V ugm-3,No data,V mgm-3,7.1,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),209.8,N deg,3.4,N ms-1,10.7,N degC
2020-06-23,04:00:00,5.75719,V ugm-3,No data,V mgm-3,8.7,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),215,N deg,2.6,N ms-1,10.9,N degC
2020-06-23,05:00:00,6.95762,V ugm-3,No data,V mgm-3,12.9,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),195.7,N deg,1.9,N ms-1,10.8,N degC
2020-06-23,06:00:00,8.22524,V ugm-3,No data,V mgm-3,13.6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),167.6,N deg,2.2,N ms-1,11.2,N degC
2020-06-23,07:00:00,9.67061,V ugm-3,No data,V mgm-3,13.9,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),150.7,N deg,2.8,N ms-1,11.3,N degC
2020-06-23,08:00:00,10.41975,V ugm-3,No data,V mgm-3,17,V ugm-3 (TEOM FDMS),6.8,V ugm-3 (TEOM FDMS),134.5,N deg,2.6,N ms-1,11.6,N degC
2020-06-23,09:00:00,10.15692,V ugm-3,No data,V mgm-3,14.4,V ugm-3 (TEOM FDMS),8.6,V ugm-3 (TEOM FDMS),126.8,N deg,2.8,N ms-1,12.4,N degC
2020-06-23,10:00:00,8.15209,V ugm-3,No data,V mgm-3,19.6,V ugm-3 (TEOM FDMS),8.4,V ugm-3 (TEOM FDMS),123.6,N deg,2.9,N ms-1,13.9,N degC
2020-06-23,11:00:00,7.64552,V ugm-3,No data,V mgm-3,18.1,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),143.3,N deg,3.2,N ms-1,17.1,N degC
2020-06-23,12:00:00,8.22643,V ugm-3,No data,V mgm-3,18.5,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),158.2,N deg,3.3,N ms-1,19.4,N degC
2020-06-23,13:00:00,6.57948,V ugm-3,No data,V mgm-3,17.2,V ugm-3 (TEOM FDMS),7.7,V ugm-3 (TEOM FDMS),168.3,N deg,3.9,N ms-1,21.4,N degC
2020-06-23,14:00:00,5.63472,V ugm-3,No data,V mgm-3,16.2,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),169.8,N deg,4.8,N ms-1,22,N degC
2020-06-23,15:00:00,5.25777,V ugm-3,No data,V mgm-3,15.2,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),171.5,N deg,5.4,N ms-1,22,N degC
2020-06-23,16:00:00,5.69715,V ugm-3,No data,V mgm-3,15.4,V ugm-3 (TEOM FDMS),8.1,V ugm-3 (TEOM FDMS),173.1,N deg,5.3,N ms-1,21.7,N degC
2020-06-23,17:00:00,6.47131,V ugm-3,No data,V mgm-3,13.6,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),177.9,N deg,4.8,N ms-1,21.2,N degC
2020-06-23,18:00:00,7.80017,V ugm-3,No data,V mgm-3,13.1,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),182.7,N deg,4.1,N ms-1,20.5,N degC
2020-06-23,19:00:00,8.0618,V ugm-3,No data,V mgm-3,13,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),185.5,N deg,3.3,N ms-1,19.5,N degC
2020-06-23,20:00:00,9.77475,V ugm-3,No data,V mgm-3,13.7,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),183.8,N deg,2.2,N ms-1,17.5,N degC
2020-06-23,21:00:00,18.35861,V ugm-3,No data,V mgm-3,12.6,V ugm-3 (TEOM FDMS),8.3,V ugm-3 (TEOM FDMS),151.1,N deg,1.1,N ms-1,15.9,N degC
2020-06-23,22:00:00,14.80903,V ugm-3,No data,V mgm-3,17.1,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),98.5,N deg,1.8,N ms-1,15,N degC
2020-06-23,23:00:00,17.40075,V ugm-3,No data,V mgm-3,25.4,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),63.2,N deg,1.6,N ms-1,14,N degC
2020-06-23,24:00:00,16.63612,V ugm-3,No data,V mgm-3,18.6,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),45.9,N deg,2.2,N ms-1,13.2,N degC
2020-06-24,01:00:00,No data,V ugm-3,No data,V mgm-3,19.3,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),9.2,N deg,2.5,N ms-1,11.5,N degC
2020-06-24,02:00:00,17.02213,V ugm-3,No data,V mgm-3,16.4,V ugm-3 (TEOM FDMS),11.5,V ugm-3 (TEOM FDMS),31.6,N deg,2.5,N ms-1,10.7,N degC
2020-06-24,03:00:00,16.23368,V ugm-3,No data,V mgm-3,15.5,V ugm-3 (TEOM FDMS),9.2,V ugm-3 (TEOM FDMS),47.9,N deg,2.8,N ms-1,10.4,N degC
2020-06-24,04:00:00,14.09328,V ugm-3,No data,V mgm-3,8.6,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),53.3,N deg,3.2,N ms-1,10.5,N degC
2020-06-24,05:00:00,13.19648,V ugm-3,No data,V mgm-3,17.6,V ugm-3 (TEOM FDMS),10.5,V ugm-3 (TEOM FDMS),51.7,N deg,3.3,N ms-1,10.9,N degC
2020-06-24,06:00:00,16.1564,V ugm-3,No data,V mgm-3,18,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),52.9,N deg,3.6,N ms-1,12.9,N degC
2020-06-24,07:00:00,24.2488,V ugm-3,No data,V mgm-3,16.3,V ugm-3 (TEOM FDMS),10.8,V ugm-3 (TEOM FDMS),68.9,N deg,4,N ms-1,15,N degC
2020-06-24,08:00:00,23.20927,V ugm-3,No data,V mgm-3,21.9,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),76.9,N deg,3.8,N ms-1,16.7,N degC
2020-06-24,09:00:00,37.56236,V ugm-3,No data,V mgm-3,24.3,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),83.1,N deg,4.2,N ms-1,18.3,N degC
2020-06-24,10:00:00,13.83391,V ugm-3,No data,V mgm-3,23.5,V ugm-3 (TEOM FDMS),13.7,V ugm-3 (TEOM FDMS),82.2,N deg,4.4,N ms-1,19.9,N degC
2020-06-24,11:00:00,13.65992,V ugm-3,No data,V mgm-3,24.6,V ugm-3 (TEOM FDMS),14.4,V ugm-3 (TEOM FDMS),81.2,N deg,4.4,N ms-1,21.6,N degC
2020-06-24,12:00:00,11.57481,V ugm-3,No data,V mgm-3,22.3,V ugm-3 (TEOM FDMS),15.7,V ugm-3 (TEOM FDMS),81.8,N deg,4.1,N ms-1,23.5,N degC
2020-06-24,13:00:00,8.86731,V ugm-3,No data,V mgm-3,22.3,V ugm-3 (TEOM FDMS),12.9,V ugm-3 (TEOM FDMS),81.7,N deg,4,N ms-1,24.6,N degC
2020-06-24,14:00:00,6.76483,V ugm-3,No data,V mgm-3,18.4,V ugm-3 (TEOM FDMS),13.2,V ugm-3 (TEOM FDMS),85.2,N deg,3.7,N ms-1,25.4,N degC
2020-06-24,15:00:00,6.1355,V ugm-3,No data,V mgm-3,17.5,V ugm-3 (TEOM FDMS),9.1,V ugm-3 (TEOM FDMS),98.2,N deg,3.3,N ms-1,26,N degC
2020-06-24,16:00:00,7.08412,V ugm-3,No data,V mgm-3,19.2,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),120.3,N deg,3.2,N ms-1,26,N degC
2020-06-24,17:00:00,8.34394,V ugm-3,No data,V mgm-3,17.4,V ugm-3 (TEOM FDMS),9.5,V ugm-3 (TEOM FDMS),136.7,N deg,3.3,N ms-1,25.5,N degC
2020-06-24,18:00:00,7.78379,V ugm-3,No data,V mgm-3,18.4,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),146.1,N deg,2.8,N ms-1,24.4,N degC
2020-06-24,19:00:00,4.8699,V ugm-3,No data,V mgm-3,17.9,V ugm-3 (TEOM FDMS),8.5,V ugm-3 (TEOM FDMS),141.7,N deg,3.6,N ms-1,22.5,N degC
2020-06-24,20:00:00,8.55033,V ugm-3,No data,V mgm-3,16.3,V ugm-3 (TEOM FDMS),9.3,V ugm-3 (TEOM FDMS),132.8,N deg,2.8,N ms-1,20,N degC
2020-06-24,21:00:00,18.43429,V ugm-3,No data,V mgm-3,15.6,V ugm-3 (TEOM FDMS),9.4,V ugm-3 (TEOM FDMS),58.1,N deg,3,N ms-1,18.4,N degC
2020-06-24,22:00:00,20.71075,V ugm-3,No data,V mgm-3,18.7,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),48.5,N deg,3.5,N ms-1,17.7,N degC
2020-06-24,23:00:00,29.37629,V ugm-3,No data,V mgm-3,25.1,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),54.9,N deg,3.7,N ms-1,17.1,N degC
2020-06-24,24:00:00,44.02303,V ugm-3,No data,V mgm-3,22.1,V ugm-3 (TEOM FDMS),21.8,V ugm-3 (TEOM FDMS),64.4,N deg,4.6,N ms-1,17,N degC
2020-06-25,01:00:00,13.95813,V ugm-3,No data,V mgm-3,22.3,V ugm-3 (TEOM FDMS),17.1,V ugm-3 (TEOM FDMS),34.1,N deg,3.5,N ms-1,14.6,N degC
2020-06-25,02:00:00,9.82789,V ugm-3,No data,V mgm-3,24.3,V ugm-3 (TEOM FDMS),16.7,V ugm-3 (TEOM FDMS),49.4,N deg,3.9,N ms-1,14.3,N degC
2020-06-25,03:00:00,8.18991,V ugm-3,No data,V mgm-3,22.2,V ugm-3 (TEOM FDMS),18.2,V ugm-3 (TEOM FDMS),55.2,N deg,4.6,N ms-1,14.3,N degC
2020-06-25,04:00:00,8.31963,V ugm-3,No data,V mgm-3,24.9,V ugm-3 (TEOM FDMS),17.3,V ugm-3 (TEOM FDMS),55.9,N deg,4.7,N ms-1,13.9,N degC
2020-06-25,05:00:00,10.34226,V ugm-3,No data,V mgm-3,22.9,V ugm-3 (TEOM FDMS),17.3,V ugm-3 (TEOM FDMS),58.8,N deg,5.2,N ms-1,13.8,N degC
2020-06-25,06:00:00,18.57288,V ugm-3,No data,V mgm-3,24.3,V ugm-3 (TEOM FDMS),17.4,V ugm-3 (TEOM FDMS),66.6,N deg,5.3,N ms-1,15.3,N degC
2020-06-25,07:00:00,16.38881,V ugm-3,No data,V mgm-3,24.5,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),71.1,N deg,5.7,N ms-1,16.4,N degC
2020-06-25,08:00:00,15.99967,V ugm-3,No data,V mgm-3,24.2,V ugm-3 (TEOM FDMS),15.5,V ugm-3 (TEOM FDMS),73.1,N deg,5.2,N ms-1,17.7,N degC
2020-06-25,09:00:00,20.32512,V ugm-3,No data,V mgm-3,25.6,V ugm-3 (TEOM FDMS),17.2,V ugm-3 (TEOM FDMS),72.7,N deg,4.8,N ms-1,19.6,N degC
2020-06-25,10:00:00,15.3014,V ugm-3,No data,V mgm-3,24.5,V ugm-3 (TEOM FDMS),14.3,V ugm-3 (TEOM FDMS),81.4,N deg,5.1,N ms-1,22,N degC
2020-06-25,11:00:00,12.67289,V ugm-3,No data,V mgm-3,25.2,V ugm-3 (TEOM FDMS),14.9,V ugm-3 (TEOM FDMS),88.9,N deg,4.7,N ms-1,23.9,N degC
2020-06-25,12:00:00,10.02977,V ugm-3,No data,V mgm-3,23.4,V ugm-3 (TEOM FDMS),13.8,V ugm-3 (TEOM FDMS),106.1,N deg,4.2,N ms-1,25.6,N degC
2020-06-25,13:00:00,10.14937,V ugm-3,No data,V mgm-3,23.6,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),125.8,N deg,4.2,N ms-1,26.4,N degC
2020-06-25,14:00:00,11.7253,V ugm-3,No data,V mgm-3,19.4,V ugm-3 (TEOM FDMS),12.4,V ugm-3 (TEOM FDMS),139.9,N deg,4.4,N ms-1,26.5,N degC
2020-06-25,15:00:00,6.86779,V ugm-3,No data,V mgm-3,18.8,V ugm-3 (TEOM FDMS),12.2,V ugm-3 (TEOM FDMS),150.4,N deg,4.9,N ms-1,26.1,N degC
2020-06-25,16:00:00,5.54904,V ugm-3,No data,V mgm-3,14.2,V ugm-3 (TEOM FDMS),9.3,V ugm-3 (TEOM FDMS),151.8,N deg,3.8,N ms-1,25.1,N degC
2020-06-25,17:00:00,6.05105,V ugm-3,No data,V mgm-3,13.6,V ugm-3 (TEOM FDMS),5.8,V ugm-3 (TEOM FDMS),144.6,N deg,3.9,N ms-1,24,N degC
2020-06-25,18:00:00,5.61333,V ugm-3,No data,V mgm-3,13,V ugm-3 (TEOM FDMS),6.4,V ugm-3 (TEOM FDMS),141.2,N deg,3.6,N ms-1,22.5,N degC
2020-06-25,19:00:00,6.42783,V ugm-3,No data,V mgm-3,15.4,V ugm-3 (TEOM FDMS),7.3,V ugm-3 (TEOM FDMS),141.6,N deg,3.2,N ms-1,20.9,N degC
2020-06-25,20:00:00,10.59382,V ugm-3,No data,V mgm-3,12.4,V ugm-3 (TEOM FDMS),7.2,V ugm-3 (TEOM FDMS),86.6,N deg,2.9,N ms-1,19.1,N degC
2020-06-25,21:00:00,8.89491,V ugm-3,No data,V mgm-3,16,V ugm-3 (TEOM FDMS),7.5,V ugm-3 (TEOM FDMS),69.1,N deg,2.3,N ms-1,18,N degC
2020-06-25,22:00:00,21.46504,V ugm-3,No data,V mgm-3,14.9,V ugm-3 (TEOM FDMS),10.1,V ugm-3 (TEOM FDMS),73.3,N deg,3.2,N ms-1,17.7,N degC
2020-06-25,23:00:00,22.33934,V ugm-3,No data,V mgm-3,19.6,V ugm-3 (TEOM FDMS),10.5,V ugm-3 (TEOM FDMS),62.2,N deg,3.7,N ms-1,17.9,N degC
2020-06-25,24:00:00,20.19711,V ugm-3,No data,V mgm-3,18,V ugm-3 (TEOM FDMS),14.3,V ugm-3 (TEOM FDMS),62.3,N deg,3.2,N ms-1,16.7,N degC
2020-06-26,01:00:00,13.4897,V ugm-3,No data,V mgm-3,14.2,V ugm-3 (TEOM FDMS),11.8,V ugm-3 (TEOM FDMS),38,N deg,1.8,N ms-1,14.9,N degC
2020-06-26,02:00:00,5.9417,V ugm-3,No data,V mgm-3,15.4,V ugm-3 (TEOM FDMS),12.3,V ugm-3 (TEOM FDMS),53.1,N deg,2,N ms-1,13.9,N degC
2020-06-26,03:00:00,5.903,V ugm-3,No data,V mgm-3,17.5,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),58.5,N deg,1.9,N ms-1,13.5,N degC
2020-06-26,04:00:00,10.55792,V ugm-3,No data,V mgm-3,19.5,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),47.9,N deg,2,N ms-1,12.9,N degC
2020-06-26,05:00:00,10.05651,V ugm-3,No data,V mgm-3,18.1,V ugm-3 (TEOM FDMS),11.7,V ugm-3 (TEOM FDMS),62.6,N deg,1.4,N ms-1,12.3,N degC
2020-06-26,06:00:00,8.35363,V ugm-3,No data,V mgm-3,20.7,V ugm-3 (TEOM FDMS),12.6,V ugm-3 (TEOM FDMS),61.2,N deg,1.1,N ms-1,13.1,N degC
2020-06-26,07:00:00,14.05907,V ugm-3,No data,V mgm-3,28.9,V ugm-3 (TEOM FDMS),14.8,V ugm-3 (TEOM FDMS),112.4,N deg,1,N ms-1,13.9,N degC
2020-06-26,08:00:00,11.2839,V ugm-3,No data,V mgm-3,23.5,V ugm-3 (TEOM FDMS),19.1,V ugm-3 (TEOM FDMS),218.4,N deg,1,N ms-1,14.1,N degC
2020-06-26,09:00:00,7.14563,V ugm-3,No data,V mgm-3,22,V ugm-3 (TEOM FDMS),15.8,V ugm-3 (TEOM FDMS),266.4,N deg,2.2,N ms-1,15.3,N degC
2020-06-26,10:00:00,4.1252,V ugm-3,No data,V mgm-3,12.4,V ugm-3 (TEOM FDMS),10.3,V ugm-3 (TEOM FDMS),277.7,N deg,3.7,N ms-1,16.5,N degC
2020-06-26,11:00:00,2.73706,V ugm-3,No data,V mgm-3,10.2,V ugm-3 (TEOM FDMS),5.3,V ugm-3 (TEOM FDMS),278.5,N deg,4.3,N ms-1,16.9,N degC
2020-06-26,12:00:00,2.86078,V ugm-3,No data,V mgm-3,8.4,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),273.6,N deg,4.9,N ms-1,18,N degC
2020-06-26,13:00:00,2.54931,V ugm-3,No data,V mgm-3,11.9,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),272.9,N deg,5.2,N ms-1,18.5,N degC
2020-06-26,14:00:00,1.79502,V ugm-3,No data,V mgm-3,11.8,V ugm-3 (TEOM FDMS),6.5,V ugm-3 (TEOM FDMS),273.2,N deg,5.4,N ms-1,19.8,N degC
2020-06-26,15:00:00,2.73053,V ugm-3,No data,V mgm-3,12.5,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),276.1,N deg,5,N ms-1,20,N degC
2020-06-26,16:00:00,3.81045,V ugm-3,No data,V mgm-3,13.3,V ugm-3 (TEOM FDMS),7.9,V ugm-3 (TEOM FDMS),287.8,N deg,4.5,N ms-1,19.5,N degC
2020-06-26,17:00:00,3.56084,V ugm-3,No data,V mgm-3,13.6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),294.1,N deg,3.7,N ms-1,17.8,N degC
2020-06-26,18:00:00,4.30424,V ugm-3,No data,V mgm-3,12.8,V ugm-3 (TEOM FDMS),6.7,V ugm-3 (TEOM FDMS),271.5,N deg,2.6,N ms-1,17.3,N degC
2020-06-26,19:00:00,4.11975,V ugm-3,No data,V mgm-3,14.4,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),258.7,N deg,2.3,N ms-1,17.2,N degC
2020-06-26,20:00:00,6.38372,V ugm-3,No data,V mgm-3,11.5,V ugm-3 (TEOM FDMS),3.6,V ugm-3 (TEOM FDMS),237.4,N deg,2.1,N ms-1,15.6,N degC
2020-06-26,21:00:00,3.6227,V ugm-3,No data,V mgm-3,8.5,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),196.9,N deg,2.5,N ms-1,14.1,N degC
2020-06-26,22:00:00,3.56193,V ugm-3,No data,V mgm-3,7.9,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),203.9,N deg,4.1,N ms-1,14.2,N degC
2020-06-26,23:00:00,2.99866,V ugm-3,No data,V mgm-3,10.6,V ugm-3 (TEOM FDMS),1.4,V ugm-3 (TEOM FDMS),185,N deg,4.4,N ms-1,13.9,N degC
2020-06-26,24:00:00,2.94007,V ugm-3,No data,V mgm-3,14.2,V ugm-3 (TEOM FDMS),3.5,V ugm-3 (TEOM FDMS),175.6,N deg,5.3,N ms-1,14,N degC
2020-06-27,01:00:00,2.40567,V ugm-3,No data,V mgm-3,4.4,V ugm-3 (TEOM FDMS),4.9,V ugm-3 (TEOM FDMS),165,N deg,6,N ms-1,14,N degC
2020-06-27,02:00:00,2.39864,V ugm-3,No data,V mgm-3,2.6,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),174.7,N deg,7.3,N ms-1,14.6,N degC
2020-06-27,03:00:00,1.53859,V ugm-3,No data,V mgm-3,4.6,V ugm-3 (TEOM FDMS),0.8,V ugm-3 (TEOM FDMS),184,N deg,6.9,N ms-1,14.8,N degC
2020-06-27,04:00:00,0.4786,V ugm-3,No data,V mgm-3,6.5,V ugm-3 (TEOM FDMS),0.7,V ugm-3 (TEOM FDMS),189.1,N deg,6.5,N ms-1,14.9,N degC
2020-06-27,05:00:00,1.42158,V ugm-3,No data,V mgm-3,4.3,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),201,N deg,6.1,N ms-1,14.9,N degC
2020-06-27,06:00:00,3.0366,V ugm-3,No data,V mgm-3,-0.4,V ugm-3 (TEOM FDMS),0.6,V ugm-3 (TEOM FDMS),206.2,N deg,5.2,N ms-1,15,N degC
2020-06-27,07:00:00,6.78743,V ugm-3,No data,V mgm-3,5.6,V ugm-3 (TEOM FDMS),0.4,V ugm-3 (TEOM FDMS),223.4,N deg,5.2,N ms-1,15.3,N degC
2020-06-27,08:00:00,5.34054,V ugm-3,No data,V mgm-3,6.1,V ugm-3 (TEOM FDMS),-0.7,V ugm-3 (TEOM FDMS),230.2,N deg,4.8,N ms-1,15.6,N degC
2020-06-27,09:00:00,3.96693,V ugm-3,No data,V mgm-3,11,V ugm-3 (TEOM FDMS),-1.8,V ugm-3 (TEOM FDMS),224.6,N deg,5,N ms-1,15.6,N degC
2020-06-27,10:00:00,4.77602,V ugm-3,No data,V mgm-3,3.9,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),229.8,N deg,6.1,N ms-1,15.8,N degC
2020-06-27,11:00:00,3.59796,V ugm-3,No data,V mgm-3,4.6,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),224,N deg,6.2,N ms-1,16.3,N degC
2020-06-27,12:00:00,4.96947,V ugm-3,No data,V mgm-3,5.1,V ugm-3 (TEOM FDMS),-0.5,V ugm-3 (TEOM FDMS),234.4,N deg,7.1,N ms-1,15.8,N degC
2020-06-27,13:00:00,3.59163,V ugm-3,No data,V mgm-3,5.6,V ugm-3 (TEOM FDMS),0.5,V ugm-3 (TEOM FDMS),252.6,N deg,10.1,N ms-1,17.3,N degC
2020-06-27,14:00:00,3.03133,V ugm-3,No data,V mgm-3,9.2,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),260.2,N deg,11,N ms-1,17.3,N degC
2020-06-27,15:00:00,2.52953,V ugm-3,No data,V mgm-3,14.2,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),255.6,N deg,9.4,N ms-1,15.2,N degC
2020-06-27,16:00:00,2.35717,V ugm-3,No data,V mgm-3,15.1,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),261.3,N deg,11.2,N ms-1,16,N degC
2020-06-27,17:00:00,1.53753,V ugm-3,No data,V mgm-3,12.8,V ugm-3 (TEOM FDMS),5.8,V ugm-3 (TEOM FDMS),259,N deg,10.4,N ms-1,15.6,N degC
2020-06-27,18:00:00,1.47165,V ugm-3,No data,V mgm-3,12.4,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),255.1,N deg,9.8,N ms-1,14.9,N degC
2020-06-27,19:00:00,1.41314,V ugm-3,No data,V mgm-3,13.1,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),252.8,N deg,8.9,N ms-1,14.1,N degC
2020-06-27,20:00:00,4.05813,V ugm-3,No data,V mgm-3,7.2,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),249.3,N deg,8.4,N ms-1,13,N degC
2020-06-27,21:00:00,4.98845,V ugm-3,No data,V mgm-3,3.7,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),247.9,N deg,8.8,N ms-1,12.5,N degC
2020-06-27,22:00:00,4.3027,V ugm-3,No data,V mgm-3,4.8,V ugm-3 (TEOM FDMS),0.6,V ugm-3 (TEOM FDMS),250.4,N deg,8.9,N ms-1,12.6,N degC
2020-06-27,23:00:00,1.54492,V ugm-3,No data,V mgm-3,10.3,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),254.6,N deg,8.4,N ms-1,12.3,N degC
2020-06-27,24:00:00,3.05137,V ugm-3,No data,V mgm-3,10.5,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),258.9,N deg,8.4,N ms-1,12,N degC
2020-06-28,01:00:00,1.06839,V ugm-3,No data,V mgm-3,9.5,V ugm-3 (TEOM FDMS),1.8,V ugm-3 (TEOM FDMS),262.2,N deg,5.9,N ms-1,10.8,N degC
2020-06-28,02:00:00,4.80213,V ugm-3,No data,V mgm-3,9.7,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),261.6,N deg,6.8,N ms-1,11.6,N degC
2020-06-28,03:00:00,1.22961,V ugm-3,No data,V mgm-3,11,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),262.8,N deg,6.7,N ms-1,11.8,N degC
2020-06-28,04:00:00,0.67017,V ugm-3,No data,V mgm-3,11.5,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),261.7,N deg,6.9,N ms-1,11.9,N degC
2020-06-28,05:00:00,4.61309,V ugm-3,No data,V mgm-3,10.8,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),262.4,N deg,6.7,N ms-1,11.8,N degC
2020-06-28,06:00:00,3.53093,V ugm-3,No data,V mgm-3,11.6,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),261.1,N deg,7.8,N ms-1,12.8,N degC
2020-06-28,07:00:00,2.84342,V ugm-3,No data,V mgm-3,17,V ugm-3 (TEOM FDMS),2.4,V ugm-3 (TEOM FDMS),262.1,N deg,9.3,N ms-1,13.9,N degC
2020-06-28,08:00:00,2.785,V ugm-3,No data,V mgm-3,13.2,V ugm-3 (TEOM FDMS),5.9,V ugm-3 (TEOM FDMS),260.9,N deg,9.8,N ms-1,14.6,N degC
2020-06-28,09:00:00,3.0299,V ugm-3,No data,V mgm-3,13.5,V ugm-3 (TEOM FDMS),3.7,V ugm-3 (TEOM FDMS),260.5,N deg,10.4,N ms-1,15.2,N degC
2020-06-28,10:00:00,3.40797,V ugm-3,No data,V mgm-3,12.1,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),263.1,N deg,10.8,N ms-1,15.7,N degC
2020-06-28,11:00:00,3.35057,V ugm-3,No data,V mgm-3,11.5,V ugm-3 (TEOM FDMS),3.1,V ugm-3 (TEOM FDMS),261.9,N deg,10.8,N ms-1,16,N degC
2020-06-28,12:00:00,3.22863,V ugm-3,No data,V mgm-3,14.4,V ugm-3 (TEOM FDMS),5.3,V ugm-3 (TEOM FDMS),261.3,N deg,10.9,N ms-1,16.3,N degC
2020-06-28,13:00:00,2.84546,V ugm-3,No data,V mgm-3,12.9,V ugm-3 (TEOM FDMS),3.4,V ugm-3 (TEOM FDMS),262.9,N deg,11.2,N ms-1,16.3,N degC
2020-06-28,14:00:00,2.97556,V ugm-3,No data,V mgm-3,12,V ugm-3 (TEOM FDMS),5.7,V ugm-3 (TEOM FDMS),264.2,N deg,11.3,N ms-1,16.3,N degC
2020-06-28,15:00:00,2.22759,V ugm-3,No data,V mgm-3,11,V ugm-3 (TEOM FDMS),3.8,V ugm-3 (TEOM FDMS),262.8,N deg,11.1,N ms-1,15.9,N degC
2020-06-28,16:00:00,1.97146,V ugm-3,No data,V mgm-3,14.2,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),262.8,N deg,10.5,N ms-1,15.6,N degC
